iter	Passed	Remaining
0	161	161235
1	190	95156
2	220	73429
3	249	62060
4	259	51647
5	287	47673
6	315	44823
7	347	43040
8	375	41390
9	403	39995
10	432	38898
11	459	37849
12	488	37122
13	517	36479
14	546	35879
15	574	35336
16	603	34901
17	631	34461
18	659	34061
19	688	33748
20	716	33410
21	744	33104
22	763	32447
23	792	32240
24	820	31993
25	848	31768
26	876	31578
27	906	31458
28	934	31275
29	962	31110
30	990	30975
31	1020	30868
32	1052	30829
33	1079	30667
34	1106	30498
35	1133	30361
36	1162	30254
37	1193	30220
38	1222	30127
39	1251	30025
40	1279	29928
41	1307	29827
42	1335	29727
43	1364	29656
44	1392	29545
45	1421	29471
46	1448	29378
47	1476	29281
48	1504	29207
49	1533	29138
50	1560	29046
51	1589	28973
52	1616	28878
53	1644	28805
54	1672	28728
55	1700	28666
56	1727	28587
57	1755	28514
58	1784	28458
59	1813	28408
60	1840	28337
61	1870	28291
62	1898	28234
63	1927	28184
64	1955	28132
65	1982	28061
66	2012	28024
67	2041	27975
68	2069	27920
69	2097	27861
70	2127	27830
71	2154	27772
72	2184	27738
73	2213	27699
74	2241	27639
75	2271	27611
76	2299	27569
77	2329	27540
78	2359	27510
79	2390	27486
80	2418	27443
81	2446	27387
82	2475	27348
83	2503	27301
84	2531	27247
85	2558	27190
86	2587	27155
87	2618	27141
88	2647	27095
89	2675	27056
90	2704	27014
91	2732	26964
92	2759	26916
93	2788	26876
94	2815	26824
95	2845	26794
96	2875	26766
97	2903	26722
98	2931	26677
99	2959	26634
100	2988	26602
101	3016	26559
102	3045	26526
103	3074	26486
104	3102	26443
105	3131	26412
106	3159	26372
107	3188	26334
108	3219	26318
109	3248	26282
110	3277	26246
111	3306	26219
112	3334	26174
113	3363	26138
114	3391	26098
115	3418	26052
116	3447	26019
117	3475	25977
118	3503	25939
119	3531	25899
120	3559	25855
121	3587	25818
122	3615	25781
123	3643	25737
124	3671	25702
125	3700	25667
126	3729	25633
127	3757	25597
128	3786	25565
129	3814	25528
130	3843	25494
131	3872	25465
132	3901	25433
133	3929	25395
134	3957	25359
135	3986	25327
136	4014	25286
137	4042	25250
138	4070	25211
139	4099	25180
140	4127	25143
141	4155	25110
142	4184	25077
143	4214	25051
144	4243	25023
145	4271	24984
146	4299	24947
147	4326	24907
148	4354	24871
149	4382	24833
150	4410	24799
151	4438	24764
152	4467	24730
153	4495	24694
154	4522	24657
155	4551	24624
156	4579	24587
157	4608	24557
158	4636	24521
159	4665	24494
160	4693	24456
161	4721	24425
162	4749	24389
163	4778	24356
164	4807	24330
165	4835	24293
166	4863	24261
167	4892	24230
168	4921	24198
169	4950	24167
170	4979	24140
171	5007	24106
172	5038	24086
173	5066	24050
174	5094	24015
175	5123	23987
176	5151	23954
177	5179	23920
178	5208	23888
179	5236	23852
180	5263	23818
181	5292	23787
182	5320	23751
183	5348	23721
184	5377	23690
185	5406	23659
186	5435	23629
187	5463	23598
188	5492	23567
189	5521	23538
190	5549	23504
191	5577	23472
192	5606	23442
193	5635	23412
194	5664	23383
195	5692	23349
196	5721	23323
197	5751	23295
198	5780	23267
199	5808	23233
200	5836	23200
201	5864	23168
202	5893	23136
203	5920	23099
204	5948	23068
205	5977	23038
206	6006	23009
207	6035	22979
208	6062	22946
209	6089	22909
210	6118	22879
211	6148	22852
212	6177	22825
213	6207	22799
214	6236	22768
215	6265	22740
216	6294	22713
217	6323	22683
218	6351	22652
219	6381	22625
220	6409	22593
221	6439	22567
222	6469	22541
223	6498	22511
224	6526	22480
225	6555	22451
226	6583	22419
227	6613	22392
228	6641	22359
229	6670	22331
230	6699	22303
231	6727	22268
232	6754	22234
233	6782	22203
234	6810	22171
235	6839	22140
236	6868	22112
237	6896	22080
238	6925	22050
239	6954	22021
240	6981	21988
241	7010	21959
242	7039	21928
243	7067	21897
244	7098	21876
245	7127	21846
246	7155	21814
247	7183	21782
248	7212	21754
249	7240	21722
250	7270	21694
251	7298	21664
252	7326	21632
253	7355	21603
254	7383	21570
255	7410	21536
256	7439	21506
257	7466	21474
258	7495	21444
259	7522	21411
260	7551	21381
261	7579	21350
262	7609	21324
263	7637	21292
264	7665	21260
265	7693	21228
266	7721	21198
267	7748	21165
268	7778	21137
269	7805	21104
270	7834	21073
271	7861	21041
272	7889	21010
273	7918	20982
274	7948	20955
275	7976	20922
276	8005	20894
277	8033	20862
278	8061	20833
279	8088	20800
280	8118	20772
281	8147	20743
282	8174	20711
283	8203	20682
284	8231	20651
285	8259	20620
286	8288	20590
287	8315	20558
288	8344	20528
289	8371	20496
290	8400	20467
291	8428	20436
292	8458	20409
293	8487	20381
294	8516	20352
295	8544	20323
296	8572	20292
297	8602	20263
298	8632	20237
299	8661	20209
300	8689	20179
301	8717	20148
302	8745	20117
303	8774	20089
304	8802	20058
305	8831	20030
306	8862	20005
307	8890	19974
308	8918	19943
309	8947	19914
310	8974	19882
311	9002	19851
312	9029	19819
313	9057	19788
314	9084	19756
315	9113	19726
